Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;
Bangladesh;BGD;Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990);EN.GHG.CO2.ZG.AR5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-4.72540123247782;6.54229024175528;14.8026003927677;21.9008600257331;47.483578248798;49.5659240197738;62.2394528340218;65.7763933094061;76.9580822103338;82.686395340963;120.985982257737;132.578045642311;143.710299993228;156.722421615765;173.47057628496;194.524277104354;212.98977449719;247.600054174849;273.331076047945;311.520958894833;342.252319360737;373.163134015034;388.112683686599;419.091216902553;478.622604455881;536.500981919144;584.238504774159;612.2794067854;640.314214126092;605.105302363378;697.509988487845;718.485135775716;705.777070495023;741.001557526918;
Bulgaria;BGR;Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990);EN.GHG.CO2.ZG.AR5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-18.9037940497887;-22.5224628783213;-21.5103998161248;-25.0235152889976;-23.3425312569094;-22.9790279847553;-25.8911763640429;-28.9797050252141;-37.3927446745521;-39.8184732113078;-37.0127525941767;-40.5436060274089;-33.21670416205;-35.7142589467399;-34.4313797010279;-32.5013147326252;-27.9999950033914;-31.8427617254788;-41.8693311914538;-38.155227139579;-31.5661994421286;-37.6466973042048;-44.4726891622311;-40.8963665911762;-37.7207720259874;-41.1273348214899;-38.4377853531915;-42.1473924573696;-44.2430949992692;-50.7645435660545;-42.7000173632147;-38.2380459263275;-53.8180959673622;-57.2933621304539;
Bahrain;BHR;Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990);EN.GHG.CO2.ZG.AR5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-3.56505793114945;13.489205634742;22.7623572559807;25.0279236475786;27.0584312744853;31.6520796865883;35.5305493039927;43.6567475202134;44.4186046511628;48.1328665499708;53.3925147953655;60.2642327248479;65.84229390681;66.046511627907;94.8003667583563;112.128032008002;115.486371592898;130.632658164541;130.520963574227;140.354255230474;141.756272401434;151.86629990831;167.82362257231;177.485204634492;178.978911394515;178.878886388264;181.337834458615;181.92048012003;207.138451279487;207.078436275736;211.392848212053;223.670084187714;222.488955572226;216.48912228057;
Bahamas, The;BHS;Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990);EN.GHG.CO2.ZG.AR5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-9.64565117349286;-22.0708697653014;-19.8987574781408;-11.2011044638748;2.6783248964565;14.6065347445927;15.5729406350667;32.7841693511275;19.32811780948;-8.20984813621721;-8.63322595490106;0.036815462494233;-25.4855039116429;-19.558214450069;-20.7915324436263;0.819144040497011;20.9203865623562;25.3198343304188;4.22457432121492;18.0855959502991;-21.3805798435343;-6.38748274275197;0.423377818683845;4.58352508053383;3.12011044638749;14.6341463414634;26.4427059364933;11.4219972388403;33.5020708697653;7.98895536125173;33.3456051541648;29.3603313391624;29.7560975609756;34.3028071790152;
Bosnia and Herzegovina;BIH;Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990);EN.GHG.CO2.ZG.AR5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-10.5066757820289;-33.960014486915;-44.5737143880296;-86.5703042659081;-85.697020009034;-82.0972657982656;-64.5017681361119;-55.0299301291207;-55.675737265961;-41.8846825290247;-42.6350721700666;-39.6587436263678;-38.1917400168471;-34.7515046451723;-31.4463719637502;-23.9416616817029;-19.7310968140995;-11.8890367422346;-11.8572957487415;-9.58862858561318;2.82494842088559;-5.14000626681153;-5.53717562128925;-15.374848925079;-15.2316075185461;-4.34485368622807;-2.37691208965609;-2.07415184402964;-8.04267942817378;-8.29131721053638;-6.36529000280786;-8.85207476224775;-15.2401531706404;-16.9549806908956;
Belarus;BLR;Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990);EN.GHG.CO2.ZG.AR5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-3.74071856060463;-12.9734529039203;-24.8646871316325;-35.9499190775983;-42.7409573480194;-41.8583914824908;-41.433501495264;-42.8543813700333;-44.8880541857918;-46.6898568412594;-47.8849309980177;-47.7032820003563;-47.0961744740044;-43.9157535259046;-43.1276603002657;-40.8113276201233;-42.1424727005341;-38.6302130514378;-41.6234891010601;-37.3463516694272;-40.3401015036027;-39.1006811126735;-38.948596271126;-39.3831514632362;-43.933946852744;-44.033820636539;-42.9356827993466;-39.8780668074123;-41.9637611671019;-44.8892860256299;-44.432368202613;-47.0360985926704;-49.0014516758707;-48.6267828512733;
Belize;BLZ;Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990);EN.GHG.CO2.ZG.AR5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14.4664031620553;-4.1897233201581;-6.48221343873517;-9.1699604743083;2.60869565217392;-14.6245059288538;46.8774703557312;49.3280632411067;55.9683794466403;10.4347826086956;12.6482213438735;12.4110671936759;18.3399209486166;8.45849802371541;19.2885375494071;37.9446640316205;33.1225296442688;28.695652173913;55.4940711462451;84.4268774703557;18.5770750988142;28.7747035573122;62.6086956521739;61.6600790513834;95.4150197628459;106.166007905138;125.059288537549;124.98023715415;214.782608695652;151.857707509881;165.691699604743;180.237154150198;196.916996047431;207.430830039526;
Bermuda;BMU;Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990);EN.GHG.CO2.ZG.AR5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-9.74257425742575;-28.6732673267327;-20.3564356435644;-21.1089108910891;-20.6732673267327;-19.0891089108911;-16.950495049505;-14.970297029703;-13.8613861386139;-40.4356435643564;-41.1089108910891;-34.4158415841584;-32.2772277227723;-31.4851485148515;-26.3366336633663;-8.27722772277227;9.74257425742575;10.4554455445544;-3.08910891089109;22.3762376237624;-39.2475247524753;-29.6237623762376;-21.5841584158416;7.72277227722773;-8.63366336633664;23.4455445544554;12.990099009901;19.1683168316832;19.8019801980198;-15.1683168316832;-3.08910891089109;1.98019801980198;2.29702970297028;5.86138613861384;
Bolivia;BOL;Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990);EN.GHG.CO2.ZG.AR5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.7856264143493;12.8517837887095;35.0014428261167;45.711768904819;31.7391370381058;27.3575019364245;54.4218823565148;54.5327521528484;34.8237473991161;24.6115760217487;20.5336937867351;28.607444982762;36.9788739881233;43.5566423158118;50.9226493325031;63.7470953632125;82.190969427274;95.0609783879836;107.454095348025;124.666251537749;144.442081922148;158.818705101529;174.922163327916;195.597102197652;203.028416080677;224.418692951415;230.836991024103;233.604179639445;234.123597041447;181.972267363273;232.147684643774;255.122032714184;270.944519538903;331.869750770773;
Brazil;BRA;Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990);EN.GHG.CO2.ZG.AR5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.69158649894288;5.20382442684502;9.89065573503154;14.0425556296496;23.4211986571401;32.5029122182707;40.7068834129832;44.8104336527702;48.0525490669663;53.9994243878832;54.8496643070683;54.8938709650406;52.7203402193761;61.0085817331743;62.7481115206606;64.7005649020291;73.2677975872773;81.9354318346997;69.9480670936304;93.8930904068026;104.348031128892;119.44819689284;130.718867251769;140.840076354551;128.279479516186;112.752232480302;118.061747401482;107.627433514817;106.523721521855;97.4186485103502;123.119509151836;111.23395635485;111.660861329047;116.612095170808;
